kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
test.2.sm_86.ptx 97 : 262144 2091648 0 0 0 0 0 0 0 
test.3.sm_86.ptx 263 : 4096 24576 0 0 0 0 0 0 0 
test.3.sm_86.ptx 96 : 8192 49152 0 0 0 0 0 0 0 
test.2.sm_86.ptx 96 : 262144 20494944 0 0 0 8192 8192 0 0 
test.3.sm_86.ptx 262 : 4096 36864 0 0 0 0 0 0 0 
test.3.sm_86.ptx 95 : 8192 49152 0 0 0 0 0 0 0 
test.2.sm_86.ptx 95 : 262144 2784928 0 0 0 0 0 0 0 
test.3.sm_86.ptx 261 : 4096 24576 0 0 0 0 0 0 0 
test.3.sm_86.ptx 94 : 8192 49152 0 0 0 0 0 0 0 
test.2.sm_86.ptx 94 : 262144 2783488 0 0 0 0 0 0 0 
test.3.sm_86.ptx 260 : 4096 36864 0 0 0 0 0 0 0 
test.3.sm_86.ptx 93 : 8192 49152 0 0 0 0 0 0 0 
test.3.sm_86.ptx 259 : 4096 24576 0 0 0 0 0 0 0 
test.3.sm_86.ptx 92 : 8192 49152 0 0 0 0 0 0 0 
test.3.sm_86.ptx 258 : 4096 40960 0 0 0 0 0 0 0 
test.3.sm_86.ptx 91 : 8192 49152 0 0 0 0 0 0 0 
test.2.sm_86.ptx 91 : 65536 540608 0 0 0 0 0 0 0 
test.3.sm_86.ptx 90 : 8192 49152 0 0 0 0 0 0 0 
test.2.sm_86.ptx 90 : 65536 546592 0 0 0 0 0 0 0 
test.3.sm_86.ptx 256 : 4096 0 0 0 0 0 0 0 0 
test.3.sm_86.ptx 89 : 8192 49152 0 0 0 0 0 0 0 
test.2.sm_86.ptx 89 : 65536 544960 0 0 0 0 0 0 0 
test.3.sm_86.ptx 254 : 4096 24576 0 0 0 0 0 0 0 
test.3.sm_86.ptx 87 : 8192 0 0 0 0 0 0 0 0 
test.2.sm_86.ptx 87 : 65536 1755072 0 0 0 0 0 0 0 
test.3.sm_86.ptx 253 : 4096 24576 0 0 0 0 0 0 0 
test.3.sm_86.ptx 86 : 8192 49152 0 0 0 0 0 0 0 
test.2.sm_86.ptx 86 : 65536 1754016 0 0 0 0 0 0 0 
test.3.sm_86.ptx 252 : 4096 24576 0 0 0 0 0 0 0 
test.3.sm_86.ptx 85 : 8192 49152 0 0 0 0 0 0 0 
test.2.sm_86.ptx 85 : 65536 554080 0 0 0 0 0 0 0 
test.3.sm_86.ptx 251 : 4096 24576 0 0 0 0 0 0 0 
test.3.sm_86.ptx 84 : 8192 49152 0 0 0 0 0 0 0 
test.3.sm_86.ptx 250 : 4096 24576 0 0 0 0 0 0 0 
test.3.sm_86.ptx 83 : 8192 50432 0 0 0 0 0 0 0 
test.2.sm_86.ptx 83 : 65536 0 0 0 0 0 0 0 0 
test.3.sm_86.ptx 249 : 4096 24576 0 0 0 0 0 0 0 
test.3.sm_86.ptx 82 : 8192 49152 0 0 0 0 0 0 0 
test.2.sm_86.ptx 82 : 65536 679904 0 0 0 0 0 0 0 
test.3.sm_86.ptx 248 : 4096 24576 0 0 0 0 0 0 0 
test.3.sm_86.ptx 81 : 8192 64896 0 0 0 0 0 0 0 
test.2.sm_86.ptx 81 : 65536 1857504 0 0 0 0 0 0 0 
test.3.sm_86.ptx 237 : 4096 28672 0 0 0 0 0 0 0 
test.3.sm_86.ptx 70 : 8192 92224 0 0 0 0 0 0 0 
test.2.sm_86.ptx 70 : 65536 412352 0 0 0 0 0 0 0 
test.3.sm_86.ptx 236 : 4096 36864 0 0 0 0 0 0 0 
test.3.sm_86.ptx 69 : 8192 121408 0 0 0 0 0 0 0 
test.2.sm_86.ptx 69 : 65536 410208 0 0 0 0 0 0 0 
test.2.sm_86.ptx 235 : 65536 0 0 0 0 0 0 0 0 
test.3.sm_86.ptx 235 : 4096 32768 0 0 0 0 0 0 0 
test.3.sm_86.ptx 68 : 8192 111168 0 0 0 0 0 0 0 
test.2.sm_86.ptx 68 : 65536 501440 0 0 0 0 0 0 0 
test.3.sm_86.ptx 147 : 32768 294912 0 0 0 0 0 0 0 
test.2.sm_86.ptx 234 : 65536 464768 0 0 0 0 0 0 0 
test.3.sm_86.ptx 234 : 4096 32768 0 0 0 0 0 0 0 
test.3.sm_86.ptx 67 : 8192 111104 0 0 0 0 0 0 0 
test.2.sm_86.ptx 67 : 65536 519904 0 0 0 0 0 0 0 
test.3.sm_86.ptx 146 : 32768 197248 0 0 0 0 0 0 0 
test.2.sm_86.ptx 146 : 22176 2720 0 0 0 0 0 0 0 
test.3.sm_86.ptx 269 : 4096 36864 0 0 0 0 0 0 0 
test.3.sm_86.ptx 102 : 8192 51456 0 0 0 0 0 0 0 
test.2.sm_86.ptx 102 : 262144 1920320 0 0 0 0 0 0 0 
test.2.sm_86.ptx 232 : 65536 270816 0 0 0 8192 2048 0 0 
test.3.sm_86.ptx 232 : 4096 36864 0 0 0 0 0 0 0 
test.3.sm_86.ptx 65 : 8192 56256 0 0 0 0 0 0 0 
test.2.sm_86.ptx 65 : 65536 553696 0 0 0 0 0 0 0 
test.3.sm_86.ptx 144 : 32768 2477600 0 0 0 0 0 0 0 
test.2.sm_86.ptx 144 : 22176 167456 0 0 0 0 0 0 0 
test.2.sm_86.ptx 233 : 65536 667456 0 0 0 0 0 0 0 
test.3.sm_86.ptx 233 : 4096 28672 0 0 0 0 0 0 0 
test.3.sm_86.ptx 66 : 8192 62336 0 0 0 0 0 0 0 
test.2.sm_86.ptx 66 : 65536 699008 0 0 0 0 0 0 0 
test.3.sm_86.ptx 145 : 32768 490592 0 0 0 0 0 0 0 
test.2.sm_86.ptx 145 : 22176 167040 0 0 0 0 0 0 0 
test.2.sm_86.ptx 238 : 65536 442048 0 0 0 0 0 0 0 
test.3.sm_86.ptx 238 : 4096 32768 0 0 0 0 0 0 0 
test.3.sm_86.ptx 71 : 8192 147584 0 0 0 0 0 0 0 
test.3.sm_86.ptx 239 : 4096 24576 0 0 0 0 0 0 0 
test.3.sm_86.ptx 72 : 8192 60160 0 0 0 0 0 0 0 
test.3.sm_86.ptx 240 : 4096 24576 0 0 0 0 0 0 0 
test.3.sm_86.ptx 73 : 8192 47680 0 0 0 0 0 0 0 
test.2.sm_86.ptx 73 : 65536 1819456 0 0 0 0 0 0 0 
test.3.sm_86.ptx 241 : 4096 24576 0 0 0 0 0 0 0 
test.3.sm_86.ptx 74 : 8192 47680 0 0 0 0 0 0 0 
test.2.sm_86.ptx 74 : 65536 779648 0 0 0 0 0 0 0 
test.3.sm_86.ptx 242 : 4096 24576 0 0 0 0 0 0 0 
test.3.sm_86.ptx 75 : 8192 78336 0 0 0 0 0 0 0 
test.2.sm_86.ptx 75 : 65536 506208 0 0 0 0 0 0 0 
test.3.sm_86.ptx 243 : 4096 24576 0 0 0 0 0 0 0 
test.3.sm_86.ptx 76 : 8192 52736 0 0 0 0 0 0 0 
test.2.sm_86.ptx 76 : 65536 480800 0 0 0 0 0 0 0 
test.3.sm_86.ptx 244 : 4096 0 0 0 0 0 0 0 0 
test.3.sm_86.ptx 77 : 8192 76224 0 0 0 0 0 0 0 
test.2.sm_86.ptx 77 : 65536 0 0 0 0 0 0 0 0 
